"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"187","Danny Young","RP","RP151",-8.0589620466176,5.08619648903636,1.861375,41.6613275,0,3.80540580679245,1.36789453360291,37.23574625,10.0696772661029,2.45054725576275
"188","Dany Jiménez","RP","RP624",-12.9603666112416,3.98797378338851,1.33333333333333,33.484457,0,4.79916809109472,1.48831918109775,30.130222,10.0019214262676,1.81856294899641
"189","Darien Núñez",NA,"NA365",-9.3949306462371,NA,0.0531,1.0373,0,4.17663,1.3597,1,9.3357,2.28329297820823
"190","Darren McCaughan",NA,"NA664",-15.2357164511593,8.13658673648288,4,79.5226096666667,0,4.54244304858207,1.30915127940207,105.907767,6.75779980329488,2.70370521142137
"191","Darwinzon Hernández",NA,"NA331",-9.38249752262107,NA,0.0485,1.1213,0,3.90096,1.393,1,10.0917,2.03946889778101
"192","Daulton Jefferies",NA,"NA672",-15.7544656730545,12.1756542690626,1,22.4552823333333,0,4.50561825592327,1.29416763126831,30.834836,6.55419542364357,3.18181567852848
"193","Dauri Moreta","RP","RP281",-9.35544047290196,NA,0.0467,1.0422,0,4.04658,1.2962,1,9.3798,2.61990950226244
"194","David Peterson","SP","SP9",3.4634327637197,25.816837519993,6.607475,118.3939075,0,4.14157624036929,1.39452807435574,120.448,8.84651606917508,2.36855733381547
"195","David Price",NA,"NA339",-9.38550011687332,NA,0.0478,0.8303,0,4.00005,1.3299,1,7.4727,2.5634455078728
"196","Davis Daniel","SP","SP492",-9.91947191117444,1.97528211869003,2.94326666666667,49.4795666666667,0,4.54760683381307,1.33339925845476,59.3265666666667,7.50618357037348,2.60494635279748
"197","Davis Martin","SP","SP673",-15.830548602381,3.59231322394605,6.5,117,0,4.70454545454545,1.36742424242424,132,7.97727272727273,2.38775510204082
"198","Daysbel Hernández",NA,"NA173",-8.48625689824054,4.1257456628711,3.06985,51.26335775,0,4.08337713596776,1.40722394974107,43.587561,10.5849056282365,2.22937383160967
"199","Dean Kremer","SP","SP71",-5.13814594074617,5.61412807677872,12.2003333333333,179.339666666667,0,4.27402586461794,1.30499551523581,201.794333333333,7.9985249007653,2.65120056215294
"200","Declan Cronin","RP","RP134",-7.72105201326175,0.890086064175341,0,8.5,0,4.05,1.4,10,7.65,2.125
"201","Dedniel Núñez","RP","RP222",-9.23500111853115,NA,0.0521,1.1591,0,3.46311,1.2155,1,10.4319,3.25681371171677
"202","Dennis Santana","RP","RP654",-14.4625144947311,8.49184701558282,2.4894,46.70373,1.56475,4.41841029509813,1.42330953621096,48.126127,8.73399951755935,2.24647767385762
"203","Derek Holland",NA,"NA388",-9.40211145400049,NA,0.0475,0.9168,0,4.15971,1.3434,1,8.2512,2.43700159489633
"204","Derek Law","RP","RP590",-11.4336688138239,7.89185215333006,2.442325,40.0686675,0,4.04039716037548,1.36778584381474,45.84342025,7.8662980539721,2.42435252032365
"205","Devin Sweet",NA,"NA265",-9.34520989848945,NA,0.0466,0.9883,0,3.98808,1.2793,1,8.8947,2.69658935879945
"206","Diego Castillo",NA,"NA686",-17.0533144361098,10.4921805933808,2.66666666666667,27.8130206666667,0,4.79555007200298,1.51071601829394,30.834836,8.11799958981459,1.56719055696219
"207","Dietrich Enns",NA,"NA226",-9.26268272413741,NA,0.0504,1.0278,0,3.60252,1.2148,1,9.2502,3.23716535433071
"208","Dillon Peters",NA,"NA398",-9.40499078499871,NA,0.0488,0.8768,0,4.18977,1.3395,1,7.8912,2.44642857142857
"209","Dillon Tate","RP","RP109",-7.1244319372118,2.05163023154013,2,29.4250836666667,0,4.42300366291724,1.29136525165744,40.1265776666667,6.59975927177044,2.51505475729453
"210","Domingo Acevedo",NA,"NA318",-9.37876640726525,NA,0.0455,0.861,0,4.14009,1.2893,1,7.749,2.66151468315301
"211","Domingo Germán","SP/RP","SP/RP547",-10.4674101781181,NA,0.0478,0.8922,0,4.33728,1.3075,1,8.0298,2.71350364963504
"212","Domingo Gonzalez",NA,"NA437",-9.41512706232089,NA,0.0483,1.0133,0,4.24377,1.3692,1,9.1197,2.36586504786365
"213","Drew Carlton",NA,"NA340",-9.38596208237819,NA,0.0482,0.8481,0,4.24791,1.2861,1,7.6329,2.88862397820163
"214","Drew Pomeranz",NA,"NA271",-9.35037014688852,NA,0.0484,1.0444,0,3.93309,1.3133,1,9.3996,2.56231599607458
"215","Drew Smith","RP","RP358",-9.39217284157636,NA,0.0476,1.0566,0,4.26033,1.3281,1,9.5094,2.63556996757296
"216","Drew Smyly","SP/RP","SP/RP96",-6.77516995550264,3.67888011566825,2.7644,45.45450875,1.56675,4.3519248951816,1.31604812954636,46.59493325,8.7797223907387,2.89259157799385
"217","Drey Jameson","RP","RP250",-9.32908829862162,NA,0.0536,0.9217,0,3.8403,1.2837,1,8.2953,2.88843622688812
"218","Dylan Dodd",NA,"NA636",-13.522752975521,8.62700271532186,0.97955,16.5186895,0,4.00525459028203,1.26982736461271,20.175122,7.36888755864772,3.42112348916006
"219","Dylan Lee","RP","RP8",3.77970832646353,2.33988952922582,3.564175,56.81336,0,3.51313956142592,1.19053990728695,50.67512175,10.090163029554,3.92244126287061
"220","Dylan Tebrake",NA,"NA413",-9.40761657301227,NA,0.0497,1.0222,0,4.19859,1.3687,1,9.1998,2.45544078789335
"221","Easton Lucas",NA,"NA212",-9.12397538612242,2.00559591835837,1,24,0,4.33928571428571,1.44642857142857,28,7.71428571428571,2
"222","Edgardo Henriquez","SP/RP","SP/RP631",-13.2528407188103,0.463395893919736,0,25.5050706666667,0,4.94719085184073,1.42468076659172,26.8030896666667,8.56414834463923,2.11402788652419
"223","Eduard Bazardo",NA,"NA32",-1.27098840087731,4.77650528277969,1.51625,31.63066375,0,3.7871059914127,1.22012682471884,31.60231725,9.00807277827071,3.14244892472731
"224","Eduardo Salazar",NA,"NA706",-20.1664123986573,2.8201365793721,1.66666666666667,33.0960973333333,0.669,5.00017088210005,1.57114149424832,42.1245603333333,7.07105008676609,1.76761647763076
"225","Edwar Colina",NA,"NA376",-9.39873532129829,NA,0.0473,1.0033,0,4.11237,1.36,1,9.0297,2.2890714122747
"226","Eli Morgan","RP","RP88",-6.46929121506297,5.27388263516046,2.613175,46.9049345,0,4.13693094653563,1.23946620154639,48.0976665,8.77681686490965,3.32193203071819
"227","Elieser Hernández",NA,"NA334",-9.38361264428808,NA,0.0485,0.946,0,4.46301,1.2563,1,8.514,3.31116555827791
"228","Elvin Rodriguez",NA,"NA336",-9.38471531931461,NA,0.0466,0.8866,0,4.26285,1.2833,1,7.9794,2.81639135959339
"229","Elvis Peguero","RP","RP186",-8.76730092666763,NA,1.5377,29.7403,0,3.86701875,1.36603125,32,8.364459375,2.21568846572199
"230","Emerson Hancock","SP","SP697",-18.9402220980243,0.691814166436125,8,113,0,4.75961538461539,1.36217948717949,156,6.51923076923077,2.13207547169811
"231","Emilio Pagán","RP","RP78",-5.84410591253365,3.79674528033829,3.242,50.53714475,1.52825,4.41868031625934,1.25926846135087,48.10903025,9.45423967987798,3.14938277973318
"232","Emmanuel Ramirez",NA,"NA595",-11.6114652819035,2.72084795131454,0.6279,38.0597666666667,0,4.67082,1.38837916666667,40,8.5634475,2.23705963373753
"233","Enoli Paredes","RP","RP515",-10.3800469619084,4.0741201765467,2,38.468606,0,4.33449136899072,1.53557924442524,36.7932443333333,9.40981042235353,1.59810893698474
"234","Enyel De Los Santos",NA,"NA499",-10.1149702386072,7.79780945300139,2.154875,46.80478075,0,4.57871430098195,1.32426415407736,45.10231725,9.33972027235474,2.75159284712432
"235","Erasmo Ramírez",NA,"NA159",-8.21864492629776,1.17264750402024,0.5,11,0,4.82142857142857,1.35714285714286,14,7.07142857142857,2.75
"236","Eric Adler",NA,"NA584",-11.1551340572945,0.956149521604174,0,25,0,4.84615384615385,1.46153846153846,26,8.65384615384615,2.08333333333333
"237","Eric Orze",NA,"NA194",-8.89165065478331,0.659610855359654,0.0246,0.7978185,0,4.02142585795515,1.30998652389104,0.7357465,9.7592941318783,2.623876459
"238","Eric Reyzelman",NA,"NA362",-9.39385599257035,NA,0.051,1.0646,0,4.14711,1.3629,1,9.5814,2.27478632478632
"239","Erik Miller","SP/RP","SP/RP63",-4.02338843079408,6.31981385585935,3.02286666666667,73.8855333333333,0,3.765245,1.364425,60,11.08283,2.19983624535408
"240","Erik Sabrowski","RP","RP101",-6.91360506059238,1.12975571466623,2.29696666666667,48.6722333333333,0,3.97705,1.39455873015873,42,10.4297642857143,2.13969590485597
"241","Erik Swanson","RP","RP55",-3.27290814852583,2.8169635085332,2.499175,49.02676775,1.51425,4.10676310331476,1.26687893788508,47.34493325,9.31970708291156,3.11260442839866
"242","Ethan Roberts","RP","RP84",-6.19538523117326,2.40040313943814,3.25763333333333,57.3702,0,4.12404310344828,1.3189408045977,58,8.9022724137931,2.57733551966576
"243","Ethan Small",NA,"NA493",-9.99448495355673,3.6453358369278,1.05263333333333,45.2992666666667,0,4.15634347826087,1.4169847826087,46,8.8629,2.05465563172234
"244","Evan Justice",NA,"NA683",-16.7357004606239,2.12120928541864,2,43,0,5.5125,1.65,40,9.675,1.59259259259259
"245","Evan Kravetz",NA,"NA478",-9.56130635902801,1.56396892513024,0,9,0,5.4,1.55,10,8.1,1.8
"246","Evan Marshall",NA,"NA355",-9.39184424570056,NA,0.0454,0.9268,0,4.07727,1.3368,1,8.3412,2.49139784946237
"247","Evan Reifert",NA,"NA338",-9.38512946849883,NA,0.0468,1.0878,0,3.96837,1.3752,1,9.7902,2.10895696006204
