"","system","player_name","playerid","ip","w","er","h","bb","sv","so","g","gs","team","whip","era"
"1179","rzipsdc","J.B. Bukauskas","20491",3,0,1,3,1,0,3,3,0,"MIL",1.33333333333333,3
"1180","rzipsdc","Cody Morris","25388",3,0,2,3,2,0,4,3,0,"NYY",1.66666666666667,6
"1181","rzipsdc","Dillon Tate","17796",9,0,5,9,3,0,7,9,0,"BAL",1.33333333333333,5
"1182","rzipsdc","Michael Plassmeyer","23191",5,0,2,5,2,0,4,5,0,"PIT",1.4,3.6
"1183","rzipsdc","Bryan Hoeing","26304",16,1,6,13,5,0,12,14,0,"SDP",1.125,3.375
"1184","rzipsdc","Eric Adler","sa3020592",5,0,3,5,2,0,4,5,0,"CHW",1.4,5.4
"1185","rzipsdc","Dugan Darnell","sa3014876",2,0,1,2,1,0,2,2,0,"COL",1.5,4.5
"1186","rzipsdc","Tayler Scott","13652",15,1,8,16,7,0,16,15,0,"HOU",1.53333333333333,4.8
"1187","rzipsdc","Grant Holman","30002",14,0,6,14,5,0,13,14,0,"OAK",1.35714285714286,3.85714285714286
"1188","rzipsdc","Bryse Wilson","19990",19,1,10,19,5,0,15,14,1,"MIL",1.26315789473684,4.73684210526316
"1189","rzipsdc","Cole Sulser","15256",9,1,4,8,4,0,10,9,0,"TBR",1.33333333333333,4
"1190","rzipsdc","Taylor Clarke","17611",2,0,1,2,1,0,2,2,0,"MIL",1.5,4.5
"1191","rzipsdc","Kevin Herget","15369",4,0,2,4,1,0,3,4,0,"MIL",1.25,4.5
"1192","rzipsdc","Freddy Tarnok","23324",3,0,2,3,2,0,3,3,0,"PHI",1.66666666666667,6
"1193","rzipsdc","Casey Lawrence","11121",2,0,1,2,0,0,1,0,0,"SEA",1,4.5
"1194","rzipsdc","Brandon Williamson","25463",2,0,1,2,1,0,2,0,0,"CIN",1.5,4.5
"1195","rzipsdc","Greg Weissert","20375",12,1,6,12,5,0,13,12,0,"BOS",1.41666666666667,4.5
"1196","rzipsdc","Hayden Juenger","sa3017103",3,0,1,3,1,0,3,3,0,"TOR",1.33333333333333,3
"1197","rzipsdc","Cam Booser","16061",6,0,3,7,3,0,6,6,0,"BOS",1.66666666666667,4.5
"1198","rzipsdc","Matt Festa","19330",13,0,8,13,6,0,14,13,0,"TEX",1.46153846153846,5.53846153846154
"1199","rzipsdc","Josh Simpson","sa1053035",5,0,3,5,3,0,7,5,0,"MIA",1.6,5.4
"1200","rzipsdc","Tristan Beck","21584",6,0,3,7,2,0,6,6,0,"SFG",1.5,4.5
"1201","rzipsdc","Tommy Nance","19178",13,0,8,14,6,0,13,13,0,"TOR",1.53846153846154,5.53846153846154
"1202","rzipsdc","Jackson Wolf","29832",3,0,1,3,1,0,2,3,0,"SDP",1.33333333333333,3
"1203","rzipsdc","Connor Thomas","sa3010784",3,0,2,4,1,0,2,3,0,"STL",1.66666666666667,6
"1204","rzipsdc","Caleb Kilian","26213",8,0,4,9,3,0,7,8,0,"CHC",1.5,4.5
"1205","rzipsdc","Tom Cosgrove","23443",5,0,2,4,2,0,5,5,0,"SDP",1.2,3.6
"1206","rzipsdc","Daysbel Hernández","20271",11,1,5,10,6,0,13,11,0,"ATL",1.45454545454545,4.09090909090909
"1207","rzipsdc","Bruce Zimmermann","20370",5,0,2,5,1,0,4,5,0,"BAL",1.2,3.6
"1208","rzipsdc","Ryder Ryan","19891",3,0,2,3,1,0,3,3,0,"PIT",1.33333333333333,6
"1209","rzipsdc","Trevor Kelley","18454",4,0,2,4,1,0,3,4,0,"SEA",1.25,4.5
"1210","rzipsdc","Austin Voth","15047",13,1,6,13,4,0,13,13,0,"SEA",1.30769230769231,4.15384615384615
"1211","rzipsdc","Zach Jackson","19493",8,0,4,7,4,0,9,8,0,"OAK",1.375,4.5
"1212","rzipsdc","Randy Rodríguez","23974",3,0,2,3,2,0,4,3,0,"SFG",1.66666666666667,6
"1213","rzipsdc","Victor Vodnik","24614",15,1,8,15,8,4,14,15,0,"COL",1.53333333333333,4.8
"1214","rzipsdc","Kyle Muller","20167",4,0,2,4,2,0,3,4,0,"OAK",1.5,4.5
"1215","rzipsdc","Angel Zerpa","22717",12,0,6,13,4,0,10,12,0,"KCR",1.41666666666667,4.5
"1216","rzipsdc","Francisco Pérez","21018",8,0,4,7,5,0,9,8,0,"OAK",1.5,4.5
"1217","rzipsdc","Isaiah Campbell","25551",3,0,2,3,1,0,3,3,0,"BOS",1.33333333333333,6
"1218","rzipsdc","James Paxton","11828",2,0,2,3,1,0,2,2,0,"BOS",2,9
"1219","rzipsdc","Jonathan Hernández","17464",3,0,1,2,1,0,3,3,0,"SEA",1,3
"1220","rzipsdc","Brad Lord","sa3020812",3,0,2,3,2,0,3,3,0,"WSN",1.66666666666667,6
"1221","rzipsdc","Andrew Vasquez","19482",4,0,2,3,1,0,3,4,0,"DET",1,4.5
"1222","rzipsdc","Gerardo Reyes","16306",2,0,1,2,1,0,2,2,0,"OAK",1.5,4.5
"1223","rzipsdc","Ben Joyce","31461",15,1,8,14,7,6,15,15,0,"LAA",1.4,4.8
"1224","rzipsdc","Grant Hartwig","29946",4,0,2,4,2,0,4,4,0,"NYM",1.5,4.5
"1225","rzipsdc","Zach Penrod","sa3008524",4,0,2,4,2,0,3,4,0,"BOS",1.5,4.5
"1226","rzipsdc","Jacob Bosiokovic","sa918394",2,0,1,2,1,0,2,2,0,"STL",1.5,4.5
"1227","rzipsdc","Jose Ferrer","24017",14,1,7,14,5,0,11,14,0,"WSN",1.35714285714286,4.5
"1228","rzipsdc","Sean Guenther","20045",8,0,4,8,2,0,7,8,0,"DET",1.25,4.5
"1229","rzipsdc","Diego Castillo","17496",2,0,1,2,1,0,2,2,0,"MIN",1.5,4.5
"1230","rzipsdc","Aaron Ashby","23550",7,0,3,7,4,0,8,6,0,"MIL",1.57142857142857,3.85714285714286
"1231","rzipsdc","Sixto Sánchez","19680",4,0,2,4,1,0,3,4,0,"MIA",1.25,4.5
"1232","rzipsdc","Edgardo Henriquez","sa3009613",5,0,3,5,2,0,5,5,0,"LAD",1.4,5.4
"1233","rzipsdc","Jordan Leasure","29950",5,0,3,5,3,0,5,5,0,"CHW",1.6,5.4
"1234","rzipsdc","Gerson Garabito","19835",9,0,5,9,4,0,9,9,0,"TEX",1.44444444444444,5
"1235","rzipsdc","Jacob Waguespack","18318",8,0,4,8,3,0,7,8,0,"TBR",1.375,4.5
"1236","rzipsdc","Brooks Kriske","21189",6,0,4,6,3,0,8,6,0,"CIN",1.5,6
"1237","rzipsdc","José Ruiz","14552",14,0,8,14,6,0,15,14,0,"PHI",1.42857142857143,5.14285714285714
"1238","rzipsdc","Carson Coleman","sa3014857",2,0,1,2,1,0,3,2,0,"TEX",1.5,4.5
"1239","rzipsdc","Yunior Marte","14416",6,0,4,6,3,0,6,6,0,"PHI",1.5,6
"1240","rzipsdc","Jacob Latz","21306",7,0,4,7,4,0,7,7,0,"TEX",1.57142857142857,5.14285714285714
"1241","rzipsdc","Adisyn Coffey","sa3014738",4,0,2,4,2,0,3,4,0,"CHW",1.5,4.5
"1242","rzipsdc","Cole Irvin","19244",3,0,2,3,1,0,2,3,0,"BAL",1.33333333333333,6
"1243","rzipsdc","Kyle Finnegan","15009",15,1,7,15,6,7,15,15,0,"WSN",1.4,4.2
"1244","rzipsdc","Luke Weaver","16918",16,1,9,17,6,1,16,16,0,"NYY",1.4375,5.0625
"1245","rzipsdc","Sam Bachman","29754",15,0,9,16,9,0,13,7,2,"LAA",1.66666666666667,5.4
"1246","rzipsdc","Andrew Bellatti","10657",4,0,2,4,2,0,5,4,0,"PHI",1.5,4.5
"1247","rzipsdc","Justin Bruihl","23779",4,0,2,4,1,0,3,4,0,"PIT",1.25,4.5
"1248","rzipsdc","Brandon Young","sa3014926",4,0,2,4,1,0,3,3,0,"BAL",1.25,4.5
"1249","rzipsdc","Kolton Ingram","26068",3,0,2,3,2,0,3,3,0,"SFG",1.66666666666667,6
"1250","rzipsdc","Joe La Sorsa","25481",10,0,5,11,3,0,8,10,0,"WSN",1.4,4.5
"1251","rzipsdc","Yacksel Ríos","15007",4,0,2,4,2,0,4,4,0,"NYM",1.5,4.5
"1252","rzipsdc","Lou Trivino","15043",4,0,2,4,2,0,4,4,0,"NYY",1.5,4.5
"1253","rzipsdc","Lael Lockhart","sa3017502",5,0,2,5,2,0,4,3,0,"DET",1.4,3.6
"1254","rzipsdc","Nick Hernandez","19281",4,0,2,4,2,0,4,4,0,"HOU",1.5,4.5
"1255","rzipsdc","Matthew Liberatore","22294",12,1,6,12,5,0,11,12,0,"STL",1.41666666666667,4.5
"1256","rzipsdc","Nolan Hoffman","sa3007471",4,0,2,4,1,0,3,4,0,"BAL",1.25,4.5
"1257","rzipsdc","James McArthur","21527",15,1,8,15,5,2,13,15,0,"KCR",1.33333333333333,4.8
"1258","rzipsdc","Anthony Veneziano","27453",5,0,3,5,2,0,4,5,0,"KCR",1.4,5.4
"1259","rzipsdc","Ryan Cusick","sa3017385",4,0,2,5,3,0,3,1,1,"OAK",2,4.5
"1260","rzipsdc","Anthony Solometo","sa3018259",6,0,3,6,2,0,5,6,0,"PIT",1.33333333333333,4.5
"1261","rzipsdc","Slade Cecconi","27500",12,1,6,12,3,0,9,10,0,"ARI",1.25,4.5
"1262","rzipsdc","Humberto Castellanos","21183",3,0,2,3,1,0,3,3,0,"ARI",1.33333333333333,6
"1263","rzipsdc","Keegan Thompson","19795",7,0,3,6,3,0,7,7,0,"CHC",1.28571428571429,3.85714285714286
"1264","rzipsdc","Andre Granillo","sa3016913",4,0,2,4,2,0,4,4,0,"STL",1.5,4.5
"1265","rzipsdc","Enoli Paredes","20447",4,0,2,4,3,0,5,4,0,"MIL",1.75,4.5
"1266","rzipsdc","Kirby Snead","19179",3,0,2,3,1,0,3,3,0,"SEA",1.33333333333333,6
"1267","rzipsdc","Tim Cate","sa3007926",3,0,2,3,1,0,2,3,0,"WSN",1.33333333333333,6
"1268","rzipsdc","Shintaro Fujinami","31839",4,0,2,3,2,0,4,4,0,"NYM",1.25,4.5
"1269","rzipsdc","Janson Junk","23301",7,0,3,7,2,0,5,7,0,"HOU",1.28571428571429,3.85714285714286
"1270","rzipsdc","Logan Gillaspie","22461",8,0,4,8,2,0,7,8,0,"SDP",1.25,4.5
"1271","rzipsdc","Spencer Turnbull","16207",5,0,3,5,2,0,5,4,0,"PHI",1.4,5.4
"1272","rzipsdc","Darren McCaughan","20038",8,0,4,8,2,0,6,8,0,"MIA",1.25,4.5
"1273","rzipsdc","Joe Rock","sa3017755",5,0,3,5,2,0,4,4,0,"TBR",1.4,5.4
"1274","rzipsdc","Danny Young","18439",11,0,5,10,6,0,13,11,0,"NYM",1.45454545454545,4.09090909090909
"1275","rzipsdc","David Buchanan","11176",2,0,1,3,1,0,2,2,0,"PHI",2,4.5
"1276","rzipsdc","Brent Honeywell","16466",3,0,2,3,1,0,2,3,0,"LAD",1.33333333333333,6
"1277","rzipsdc","Joe Jacques","25178",2,0,1,2,1,0,2,2,0,"ARI",1.5,4.5
"1278","rzipsdc","Michael McGreevy","29869",6,0,3,7,2,0,4,5,0,"STL",1.5,4.5
"1279","rzipsdc","Nick Avila","25667",5,0,3,6,2,0,4,5,0,"BAL",1.6,5.4
"1280","rzipsdc","J.P. Feyereisen","16610",4,0,2,3,2,0,4,4,0,"LAD",1.25,4.5
"1281","rzipsdc","Corey Knebel","15010",6,0,3,5,3,0,5,6,0,"LAA",1.33333333333333,4.5
"1282","rzipsdc","Nate Pearson","20160",12,1,6,11,6,0,14,12,0,"CHC",1.41666666666667,4.5
"1283","rzipsdc","Brandon Bielak","19866",3,0,2,3,1,0,2,3,0,"OAK",1.33333333333333,6
"1284","rzipsdc","Daulton Jefferies","19345",8,0,4,9,2,0,6,8,0,"PIT",1.375,4.5
